"","MLL(NN3)","MLL(NN3) SMAPE","MLL(NN5)","MLL(NN5) SMAPE","MLL(NN3+NN5)","MLL(NN3+NN5) SMAPE","MLL(GC)","MLL(GC) SMAPE","MLL(NN3+NN5+NNGC)","MLL(NN3+NN5+NNGC) SMAPE"
"1",1,27.69,3,9.33,1,27.69,3,9.33,NA,NA
"2",1,12.36,3,26.1,4,4.79,4,4.79,NA,NA
"3",5,23.47,3,9.34,4,12.16,3,9.34,NA,NA
"4",1,8.28,3,6.24,1,8.28,4,4.54,NA,NA
"5",1,8.03,3,6.1,4,4.25,4,4.25,NA,NA
"6",1,19.47,3,13.67,4,10.37,4,10.37,NA,NA
"7",1,22.97,3,18.53,3,18.53,1,22.97,NA,NA
"8",1,14.72,3,9.14,4,11.24,4,11.24,NA,NA
"9",1,1.84,3,5.83,4,2.54,5,2.22,NA,NA
"10",1,1.37,3,3.66,2,5.68,3,3.66,NA,NA
"11",1,3.51,3,3.44,3,3.44,3,3.44,NA,NA
"12",1,8.44,3,8.09,2,9.62,4,6.02,NA,NA
"13",1,2.64,3,1.78,1,2.64,3,1.78,NA,NA
"14",5,5.73,3,7.09,1,5.38,3,7.09,NA,NA
"15",5,12.45,3,10.77,1,8.83,3,10.77,NA,NA
"16",1,13.83,3,13.12,1,13.83,4,12.1,NA,NA
"17",5,19.15,3,15.24,1,10.17,1,10.17,NA,NA
"18",1,11.35,3,12.72,1,11.35,3,12.72,NA,NA
"19",1,3.51,3,3.12,5,5.14,1,3.51,NA,NA
"20",1,6.03,3,8.24,5,6.62,3,8.24,NA,NA
"21",1,6.03,3,12.59,5,34.15,3,12.59,NA,NA
"22",1,3.24,3,2.14,5,3.36,3,2.14,NA,NA
"23",1,31.2,3,30.92,5,18.93,5,18.93,NA,NA
"24",1,6.79,3,7.12,5,7.33,5,7.33,NA,NA
"25",1,18.82,3,20.07,3,20.07,5,17.63,NA,NA
"26",1,1.79,3,1.51,3,1.51,1,1.79,NA,NA
"27",1,20.49,3,12.97,3,12.97,4,31.4,NA,NA
"28",1,34.99,3,67.39,3,67.39,4,67.85,NA,NA
"29",1,23.22,3,15.98,3,15.98,5,20.3,NA,NA
"30",1,4.67,3,5.33,3,5.33,3,5.33,NA,NA
"31",1,0.36,3,1.01,1,0.36,1,0.36,NA,NA
"32",1,10.65,3,8.68,1,10.65,2,11.52,NA,NA
"33",1,7.87,3,7.61,1,7.87,5,9.69,NA,NA
"34",1,3.43,3,21.84,1,3.43,1,3.43,NA,NA
"35",1,16.39,3,16.78,1,16.39,1,16.39,NA,NA
"36",1,26.33,3,27.53,1,26.33,5,38.68,NA,NA
"37",1,25.82,3,27.72,5,31.13,1,25.82,NA,NA
"38",1,1.99,3,2.76,4,4.96,1,1.99,NA,NA
"39",5,14.12,3,6.06,5,14.12,1,5.79,NA,NA
"40",1,3.54,3,3.33,4,3.79,1,3.54,NA,NA
"41",1,4.09,3,8.14,1,4.09,1,4.09,NA,NA
"42",1,9.11,3,12.19,5,12.6,1,9.11,NA,NA
"43",1,4.15,3,4.86,5,4.54,1,4.15,NA,NA
"44",1,4.34,3,22.94,5,19.45,1,4.34,NA,NA
"45",1,60.67,3,51.93,5,43.53,5,43.53,NA,NA
"46",1,44.2,3,106.41,5,62.47,1,44.2,NA,NA
"47",1,59.99,3,169.55,5,46.83,5,46.83,NA,NA
"48",1,25.32,3,28.72,5,28.8,1,25.32,NA,NA
"49",5,35.55,3,49.97,4,50.21,1,39.37,NA,NA
"50",1,9.64,3,9.73,4,12.83,5,6.72,NA,NA
"51",5,6.37,3,9.57,4,13,5,6.37,NA,NA
"52",1,6.7,3,5.12,4,7.08,5,11.41,NA,NA
"53",1,6.43,3,6.23,4,6.84,5,3,NA,NA
"54",1,20.52,3,17.46,4,20.73,5,11.88,NA,NA
"55",1,14.13,3,11.87,1,14.13,1,14.13,NA,NA
"56",1,48.26,3,50.13,4,95.3,1,48.26,NA,NA
"57",5,68.05,3,70.74,1,70.62,1,70.62,NA,NA
"58",1,62.04,3,68.83,1,62.04,1,62.04,NA,NA
"59",1,61.5,3,69.12,1,61.5,1,61.5,NA,NA
"60",1,57.98,3,60.78,4,73.08,1,57.98,NA,NA
"61",1,55.89,3,56.32,4,80.33,1,55.89,NA,NA
"62",1,58.2,3,57.16,5,57.85,1,58.2,NA,NA
"63",1,65.4,3,67.97,1,65.4,1,65.4,NA,NA
"64",1,63.21,3,63.62,3,63.62,1,63.21,NA,NA
"65",1,56.48,3,58.83,3,58.83,1,56.48,NA,NA
"66",1,61.3,3,60.93,3,60.93,5,60.34,NA,NA
"67",1.48,22.09,3,25.61,3.11,24.02,2.7,21.14,NA,NA
