"","MLL(NN3)","MLL(NN3) SMAPE","MLL(NN5)","MLL(NN5) SMAPE","MLL(NN3+NN5)","MLL(NN3+NN5) SMAPE"
"1",1,27.69,1,27.69,1,27.69
"2",1,12.36,1,12.36,1,12.36
"3",5,23.47,5,23.47,5,23.47
"4",1,8.28,1,8.28,1,8.28
"5",5,11.18,3,6.1,3,6.1
"6",1,19.47,3,13.67,3,13.67
"7",1,22.97,1,22.97,1,22.97
"8",1,14.72,1,14.72,1,14.72
"9",5,2.22,3,5.83,5,2.22
"10",5,3.4,5,3.4,4,0.96
"11",5,4.36,4,7.19,3,3.44
"12",1,8.44,3,8.09,3,8.09
"13",1,2.64,1,2.64,1,2.64
"14",1,5.38,1,5.38,1,5.38
"15",1,8.83,3,10.77,1,8.83
"16",4,12.1,5,26.99,1,13.83
"17",5,19.15,3,15.24,3,15.24
"18",4,18.37,5,12.38,4,18.37
"19",1,3.51,3,3.12,1,3.51
"20",1,6.03,1,6.03,1,6.03
"21",3,12.59,3,12.59,1,6.03
"22",4,3.56,1,3.24,1,3.24
"23",1,31.2,3,30.92,1,31.2
"24",4,6.96,1,6.79,4,6.96
"25",1,18.82,3,20.07,1,18.82
"26",3,1.51,3,1.51,3,1.51
"27",5,21.01,5,21.01,5,21.01
"28",1,34.99,1,34.99,2,43.26
"29",4,30.21,1,23.22,4,30.21
"30",4,4.73,5,4.41,4,4.73
"31",1,0.36,1,0.36,1,0.36
"32",3,8.68,1,10.65,1,10.65
"33",5,9.69,5,9.69,5,9.69
"34",1,3.43,4,21.9,4,21.9
"35",1,16.39,3,16.78,3,16.78
"36",4,29.68,5,38.68,4,29.68
"37",1,25.82,1,25.82,4,24.73
"38",1,1.99,3,2.76,1,1.99
"39",5,14.12,5,14.12,5,14.12
"40",4,3.79,1,3.54,1,3.54
"41",5,8.85,3,8.14,3,8.14
"42",4,9.33,5,12.6,4,9.33
"43",1,4.15,3,4.86,1,4.15
"44",1,4.34,1,4.34,1,4.34
"45",1,60.67,3,51.93,1,60.67
"46",4,52.11,5,62.47,4,52.11
"47",5,46.83,3,169.55,3,169.55
"48",4,27.12,1,25.32,2,33.06
"49",1,39.37,1,39.37,1,39.37
"50",1,9.64,3,9.73,1,9.64
"51",1,9.16,1,9.16,1,9.16
"52",1,6.7,4,7.08,4,7.08
"53",5,3,3,6.23,3,6.23
"54",4,20.73,4,20.73,2,20.92
"55",1,14.13,1,14.13,1,14.13
"56",1,48.26,1,48.26,1,48.26
"57",1,70.62,3,70.74,4,121.63
"58",4,85.36,1,62.04,1,62.04
"59",1,61.5,2,71.84,3,69.12
"60",4,73.08,5,58.79,4,73.08
"61",1,55.89,1,55.89,1,55.89
"62",1,58.2,1,58.2,1,58.2
"63",1,65.4,3,67.97,1,65.4
"64",1,63.21,1,63.21,1,63.21
"65",1,56.48,4,65.4,1,56.48
"66",4,67.31,5,60.34,4,67.31
"67",2.5,23.27,2.67,25.27,2.32,25.86
